college,draft_year,picks,mean_career_av,mean_predict_av,mean_avoe,career_av,predict_av,avoe,highest_pick,lowest_pick,mean_pick,mascot,color,logo
Akron,1997,1,118,21,97,118,21,97,73,73,73,Zips,#00285e,http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png
Southern,1991,1,120,23,97,120,23,97,59,59,59,Jaguars,#004B97,http://a.espncdn.com/i/teamlogos/ncaa/500/2582.png
Bloomsburg,2006,1,106,18,88,106,18,88,108,108,108,Huskies,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/2071.png
Idaho St.,2004,1,99,13,86,99,13,86,126,126,126,Bengals,#ef8c00,http://a.espncdn.com/i/teamlogos/ncaa/500/304.png
Syracuse,1996,1,124,38,86,124,38,86,19,19,19,Orange,#F37321,http://a.espncdn.com/i/teamlogos/ncaa/500/183.png
UNLV,1991,1,84,3,81,84,3,81,326,326,326,Rebels,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/2439.png
Harvard,2005,1,79,3,76,79,3,76,250,250,250,Crimson,#990000,http://a.espncdn.com/i/teamlogos/ncaa/500/108.png
South Dakota St.,1995,1,83,7,76,83,7,76,230,230,230,Jackrabbits,#005DAB,http://a.espncdn.com/i/teamlogos/ncaa/500/2571.png
Sonoma St.,1994,1,101,28,73,101,28,73,46,46,46,NA,black,NA
Harvard,1998,1,81,9,72,81,9,72,173,173,173,Crimson,#990000,http://a.espncdn.com/i/teamlogos/ncaa/500/108.png
Alcorn St.,1999,1,76,5,71,76,5,71,213,213,213,Braves,#4b0058,http://a.espncdn.com/i/teamlogos/ncaa/500/2016.png
Savannah St.,1990,1,80,9,71,80,9,71,192,192,192,Tigers,#280298,http://a.espncdn.com/i/teamlogos/ncaa/500/2542.png
UCF,2006,1,84,17,67,84,17,67,119,119,119,Knights,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/2116.png
West. Illinois,1994,1,79,13,66,79,13,66,145,145,145,Leathernecks,#4e1e8a,http://a.espncdn.com/i/teamlogos/ncaa/500/2710.png
William & Mary,1997,1,90,24,66,90,24,66,60,60,60,Tribe,#103217,http://a.espncdn.com/i/teamlogos/ncaa/500/2729.png
Cincinnati,2011,1,72,7,65,72,7,65,191,191,191,Bearcats,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/2132.png
Texas Tech,1996,2,78,13,65,156,26,130,133,154,144,Red Raiders,#C80025,http://a.espncdn.com/i/teamlogos/ncaa/500/2641.png
Marshall,1998,2,82,25,57,164,50,114,21,148,84,Thundering Herd,#186329,http://a.espncdn.com/i/teamlogos/ncaa/500/276.png
Miami (FL),1996,2,78.5,22,56.5,157,44,113,26,175,100,Hurricanes,#004325,http://a.espncdn.com/i/teamlogos/ncaa/500/2390.png
Kent St.,2009,1,60,4,56,60,4,56,232,232,232,Golden Flashes,#002445,http://a.espncdn.com/i/teamlogos/ncaa/500/2309.png
