draft_year,draft_logo,draft_date,issue
1989,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/National_Football_League_logo.svg/1200px-National_Football_League_logo.svg.png,"April 23-24, 1989",
1990,https://content.sportslogos.net/logos/7/1009/full/b7u92yfag0fsxddcmf7m8xm5f.gif,"April 22-23, 1990",1
1991,https://upload.wikimedia.org/wikipedia/en/9/95/1991nfldraft.gif,"April 21-22, 1991",
1992,https://upload.wikimedia.org/wikipedia/en/7/7c/1992nfldraft.png,"April 26-27, 1992",
1993,https://upload.wikimedia.org/wikipedia/en/f/f3/1993nfldraft.png,"April 25-26, 1993",
1994,https://upload.wikimedia.org/wikipedia/en/8/8c/1994nfldraft.png,"April 24-25, 1994",
1995,https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/1995nfldraft.gif/220px-1995nfldraft.gif,"April 22-23, 1995",
1996,https://upload.wikimedia.org/wikipedia/en/a/a5/1996nfldraft.png,"April 20-21, 1996",
1997,https://upload.wikimedia.org/wikipedia/en/5/5a/1997nfldraft.png,"April 19-20, 1997",
1998,https://upload.wikimedia.org/wikipedia/en/thumb/6/6e/1998nfldraft.png/220px-1998nfldraft.png,"April 18-19, 1998",
1999,https://upload.wikimedia.org/wikipedia/en/5/5e/1999nfldraft.png,"April 17-18, 1999",
2000,https://upload.wikimedia.org/wikipedia/en/thumb/0/00/2000nfldraft.png/220px-2000nfldraft.png,"April 15-16, 2000",
2001,https://content.sportslogos.net/logos/7/1009/full/6309.gif,"April 21-22, 2001",
2002,https://upload.wikimedia.org/wikipedia/en/3/3d/2002nfldraft.png,"April 20-21, 2002",
2003,https://upload.wikimedia.org/wikipedia/en/thumb/d/d5/2003nfldraft.gif/220px-2003nfldraft.gif,"April 26-27, 2003",
2004,https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/2004nfldraft.png/220px-2004nfldraft.png,"April 24-25, 2004",
2005,https://upload.wikimedia.org/wikipedia/en/thumb/0/00/2005nfldraft.png/220px-2005nfldraft.png,"April 23-24, 2005",
2006,https://upload.wikimedia.org/wikipedia/en/c/c4/2006NFLDraft.png,"April 29-30, 2006",
2007,https://upload.wikimedia.org/wikipedia/en/thumb/7/71/2007_NFL_Draft.svg/220px-2007_NFL_Draft.svg.png,"April 28-29, 2007",
2008,https://upload.wikimedia.org/wikipedia/en/thumb/e/e8/2008_NFL_Draft.svg/220px-2008_NFL_Draft.svg.png,"April 26-27, 2008",
2009,https://upload.wikimedia.org/wikipedia/en/thumb/6/64/2009_NFL_Draft.svg/220px-2009_NFL_Draft.svg.png,"April 25-26, 2009",
2010,https://upload.wikimedia.org/wikipedia/en/thumb/2/2d/2010_NFL_Draft.svg/220px-2010_NFL_Draft.svg.png,"April 22-24, 2010",
2011,https://upload.wikimedia.org/wikipedia/en/thumb/d/d9/2011_NFL_Draft.svg/220px-2011_NFL_Draft.svg.png,"April 28-30, 2011",
2012,https://upload.wikimedia.org/wikipedia/en/8/86/2012_NFL_Draft_Logo.png,"April 26-28, 2012",
2013,https://upload.wikimedia.org/wikipedia/en/8/8d/2013_NFL_draft_logo.jpg,"April 25-27, 2013",
2014,https://upload.wikimedia.org/wikipedia/en/thumb/1/18/2014_NFL_Draft.png/220px-2014_NFL_Draft.png,"May 8-10, 2014",
2015,https://upload.wikimedia.org/wikipedia/en/thumb/9/90/2015NFLDraftLogo.png/220px-2015NFLDraftLogo.png,"April 30 - May 2, 2015",
2016,https://upload.wikimedia.org/wikipedia/en/thumb/e/e4/2016_NFL_Draft_logo.svg/220px-2016_NFL_Draft_logo.svg.png,"April 28-30, 2016",
2017,https://upload.wikimedia.org/wikipedia/en/thumb/c/c1/2017_NFL_Draft_logo.svg/220px-2017_NFL_Draft_logo.svg.png,"April 27-29, 2017",
2018,https://upload.wikimedia.org/wikipedia/en/thumb/5/5a/2018_NFL_Draft_logo.svg/220px-2018_NFL_Draft_logo.svg.png,"April 26-28, 2018",
2019,https://upload.wikimedia.org/wikipedia/en/thumb/2/26/2019_NFL_Draft_logo.svg/220px-2019_NFL_Draft_logo.svg.png,"April 25-27, 2019",
2020,https://upload.wikimedia.org/wikipedia/en/thumb/d/dd/2020_NFL_Draft_logo.svg/220px-2020_NFL_Draft_logo.svg.png,"April 23-25, 2020",
